Name,RA_Simbad,DEC_Simbad
V827 Her                                             ,18 43 42.59        ,+15 19 18.9        
LP 229-30,18 43 22.1255319252,+40 40 21.338978332
BD Pav,18 43 11.9137300371,-57 30 44.865196738
V427 Sct                                                             ,18 42 59.8624170174,-04 28 19.836999403
V1709 Sgr                                                             ,18 42 50.2626159775,-19 47 47.832696603
V2383 Sgr,18 42 49.0518542508,-19 01 17.724866092
LAWD 71,18 42 28.6839496079,-61 51 53.663601368
NOVA CrA 1981                                          ,18 41 57.8         ,-37 31 14          
V3774 Sgr                                             ,18 41 41.20        ,-32 54 36.1        
V949 Sgr                                                             ,18 41 03.0953674942,-28 09 35.803319635
DT Oct                                                           ,18 40 52.4027422049,-83 43 09.999523837
V4745 Sgr,18 40 02.54        ,-33 26 55.1        
V1108 Her                                                 ,18 39 26.19216     ,+26 04 08.7852     
NOVA Sct 2005 b                                             ,18 38 42.93        ,-12 16 15.6        
V651 Oph                                             ,18 38 40.14        ,+09 22 23.4        
NOVA Sgr 1977,18 38 14.26,-23 22 47.0
V2012 Sgr                                                             ,18 37 12.3718258513,-26 10 22.196041740
BP CrA                                                             ,18 36 50.8987592516,-37 25 53.599387635
[WGB2002] 10,18 36 45.70,-23 51 59.2
[WGB2002] 21,18 36 28.290,-23 56 24.64
[WGB2002] 18,18 36 24.860,-23 55 14.92
OGLE BLG-DN-1057                                              ,18 36 24.696       ,-23 54 35.60       
[MMS2012] 614                                             ,18 36 18.93        ,-23 52 19.1        
[WGB2002] 19                                               ,18 36 18.310       ,-24 00 55.88       
OGLE BLG-DN-1056                                           ,18 36 02.70         ,-23 55 25.3        
EQ J183556+222640                                             ,18 35 56.27        ,+22 26 40.0        
 Sgr,18 35 55.58, -29 04 44.2
NOVA Sgr 1970                                             ,18 35 49.31        ,-18 41 44.3        
[HEG2001] C                                               ,18 35 45.751       ,-32 59 23.51       
NGC  6652                                             ,18 35 45.63        ,-32 59 26.6        
[WSG2004] 78                                          ,18 35 44.5         ,-24 00 11          
V662 CrA                                             ,18 35 30.41        ,-36 56 44.9        
[WSG2004] 35                                          ,18 35 30.2         ,-23 54 33          
V3608 Sgr                                                             ,18 35 24.5802200058,-35 32 04.882445048
LL Lyr,18 35 12.8191967583,+38 20 04.346785407
V1310 Sgr                                                             ,18 35 01.0130120405,-30 03 35.608118854
NOVA Sct 1960                                             ,18 34 51.55        ,-12 55 26.8        
CH Her                                             ,18 34 46.35        ,+24 48 01.6        
V941 Sgr                                                             ,18 34 43.4573771684,-29 34 49.104983400
V4077 Sgr,18 34 39.41        ,-26 26 02.9        
V939 Sgr                                                             ,18 34 23.0745321197,-26 54 31.351438137
NOVA Sct 2000                                             ,18 34 03.13        ,-14 45 12.4        
YY Tel                                             ,18 33 56.32        ,-53 58 50.0        
AG Ser                                                             ,18 33 51.8343607503,+03 42 48.570941975
NOVA Sgr 1932                                          ,18 33 42.1         ,-25 20 42          
MACHO 173.33003.1207                                             ,18 33 17.91        ,-27 13 08.6        
V3876 Sgr                                                             ,18 33 12.7090607464,-20 05 50.217188265
LEDA 206844,18 33 10.6,-27 14 56
MACHO 301.46282.3402                                             ,18 32 53.26        ,-13 30 34.4        
MACHO 301.46117.1481                                             ,18 32 52.65        ,-13 18 04.3        
AX J1832.3-0840,18 32 19.3118731287,-08 40 30.249335406
AX J1832.3-0840,18 32 19.3118731287,-08 40 30.249335406
NOVA Sct 2005                                             ,18 32 04.75        ,-06 43 34.3        
V1017 Sgr,18 32 04.4737964965,-29 23 12.593546512
MACHO 302.45594.2132                                             ,18 31 52.17        ,-14 33 44.7        
NOVA Sgr 1969                                             ,18 31 36.75        ,-32 35 57.7        
V2359 Sgr                                          ,18 31 35.0         ,-32 25 52          
MACHO 302.45426.2942                                             ,18 31 29.12        ,-14 31 11.3        
2MASS J18312344-3220494                                             ,18 31 23.44        ,-32 20 49.4        
IGR J18308-1232                    ,18 30 50           ,-12 32.3           
FH Ser                                                             ,18 30 47.0400085734,+02 36 52.026418567
V3890 Sgr                                                             ,18 30 43.2881019064,-24 01 08.948570280
MACHO 172.31712.790                                             ,18 30 24.36        ,-26 37 55.8        
PTB 42                                               ,18 30 23.105       ,-17 11 56.89       
MACHO 303.44749.3841                                             ,18 30 22.34        ,-14 53 52.0        
V3462 Sgr,18 30 19.9947735085,-32 37 58.822721907
NOVA Sct 1961                                    ,18 29 42.8         ,-12 18 55          
V394 Lyr                                       ,18 28 47.22        ,+35 49 29.3        
NOVA Sgr 1897                                                       ,18 28 28.9155172824,-27 55 19.169705060
NSV 10848,18 28 11.0,-13 44 30
V391 Sct                                                       ,18 28 06.6114929963,-15 54 44.126481784
NOVA Sgr 1900                                       ,18 28 03.44        ,-21 34 24.7        
V1988 Sgr                                                       ,18 27 57.3144377673,-27 37 22.870197938
BS Sgr                                                       ,18 26 46.7198583353,-27 08 19.961217800
DP Pav                                                       ,18 26 20.2296074858,-64 57 38.814429289
V3941 Sgr                                                       ,18 25 58.2582008728,-29 25 48.952473971
V909 Sgr,18 25 52.3         ,-35 01 27          
V4019 Sgr                                                       ,18 25 27.2984063970,-25 40 07.269997743
V1151 Sgr                                       ,18 25 23.75        ,-20 11 59.3        
MACHO 150.29315.3459                                       ,18 24 48.95        ,-30 23 49.7        
NOVA Sgr 2001 b                                       ,18 24 46.04        ,-30 00 41.1        
NOVA CrA 1967                                    ,18 24 44.6         ,-36 59 43          
V4137 Sgr                                                       ,18 24 44.4820612381,-24 50 25.232696160
WW Tel,18 23 56.8,-54 59 46
IR Lyr                                                       ,18 23 53.4673766759,+39 18 58.047886518
NOVA Sgr 1996                                       ,18 23 42.47        ,-18 07 14.8        
Cl* NGC 6624    SZR     DN                                         ,18 23 41.349       ,-30 21 56.53       
NOVA Sgr 1992 c                                       ,18 23 41.34        ,-22 59 28.7        
ALMA J182341.1181-302135.733                                                ,18 23 41.1181      ,-30 21 35.733      
Cl* NGC 6624     SC       1                                              ,18 23 40.914       ,-30 21 36.36       
ALMA J182340.892-302138.56                                                ,18 23 40.8936      ,-30 21 38.571      
COM Star1                                              ,18 23 40.803       ,-30 21 34.90       
OGLE BUL-SC9   1565                                       ,18 23 35.49        ,-21 29 00.0        
NOVA Sgr 1992 b                                       ,18 23 26.94        ,-28 21 59.7        
OGLE BUL-SC8    569                                       ,18 23 14.93        ,-21 59 38.2        
OGLE BUL-SC8   2190                                       ,18 23 10.80        ,-21 23 06.9        
 Sct,18 23 01.2, -04 37 19.
GR Sgr                                                       ,18 22 58.5010210273,-25 34 47.318336317
OGLE BLG-DN-1049                                       ,18 22 41.30        ,-21 45 24.2        
 Sgr,18 22 35.67, -30 54 35.3
OGLE BLG-ECL-209                          ,18 22 16.17        ,-29 56 39.7        
NOVA Sgr 1930                                       ,18 22 08.09        ,-25 28 53.7        
MACHO 156.28129.900                                       ,18 22 06.93        ,-31 27 42.4        
MACHO 153.28005.3041                                       ,18 21 53.55        ,-31 06 41.8        
OGLE BLG-DN-1046                                       ,18 21 44.52        ,-30 47 08.4        
V4633 Sgr,18 21 40.49        ,-27 31 37.3        
OGLE BUL-SC11   1886                                       ,18 21 15.31        ,-22 04 06.1        
V391 Lyr                                                       ,18 21 11.9687173866,+38 47 43.198709187
