GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
KT Per,01:37:08.79,+50:57:20.4,0.0631,1,-0.0051,0.0009,2000,130,-11,ugz,0.162658,,,10.6V-16.1V,2004-105,2004-105,1987-20,1983-12,1983-12S,1999-62,GR 91,Y,,,,,Y,,,,,
TX Tri,01:37:37.20,+30:02:48.8,-4,4,-2,0,2000,135,-32,ugss,,,,14.5B-18.2B,2003-115*,2003-115,1981-18,1981-18,2000-01X,,SVS 2289,,,,,,,,,,,
TU Tri,01:39:15.74,+31:24:15.1,,,,,,135,-30,ug,,,,14.8p-18.9V,2005-126,,1991-25*,2005-126,,*,GR 287,,,,,,,,,,,
Tri,01:39:52.27,+29:21:19.8,,,,,,,,non-cv,,,,-,,,2002-22*,,,,NSV 15358/S 10832,,,,,,,,,,,
BL Hyi,01:41:00.24,-67:53:28.4,,,,,,296,-49,am,0.078915,,,14.3V-17.4V,ICRS,,1984-15,1982-20,1986-07S,1989-24,H 0139-68,Y,Y,,Y,Y,Y,Y,,Y,Y,
Psc,01:41:39.92,+06:14:37.4,0.0051,0.0057,-0.0012,0.0063,2000,145,-54,nl/ugz:,0.1692,,,15.2B-,2004-105*,2004-105,2005-40,2005-40,2005-40S,2005-40,HS 0139+0559,,,,,,,,,,,
Cet,01:42:25.28,-22:15:58.3,-2,3,26,3,2000,193,-77,ugsu,,,,12.2p-18.7B,2003-115,2003-115,2005-80,A9999-99,,,NSV 601, PHL 3638,,,,,,,,,,
AR And,01:45:03.28,+37:56:32.7,0.0091,5,-0.0207,5,2000,134,-23,ug,163,,,11.0V-17.6V,1987-28,1987-28,1995-41,1983-12,1983-12S,1996-71,Ross 346,Y,,,,,,,,,,
Tri,01:46:48.46,+31:52:24.7,,,,,,,,non-cv,,,,- ,,,2000-80*,,,,RX J0146.8+3152,,,,,,,,,,,
For2,01:48:07.89,-25:32:42.3,,,,,,,,non-cv,,,,- ,,,1995-07*,,,,GD 1401,,,,,,,,,,,
Cet,01:51:18.57,-02:23:00.7,0.03,23,-24,4,2000,156,-61,ugsu:,,,,14.0V-20.7V,2003-115,2003-115,2002-18,2002-16,2002-16X,,ROTSE3 J015118,,,,,,,,,,,
Ari,01:51:51.87,+14:00:47.2,0.03159,0.0039,-0.00742,0.0039,1999781,144,-46,ug,,,,15.7p-20.3s,2006-22,2006-22,2001-73,1986-06*,2002-05S,,SDSSp J015151+140047,,,,,,,,,,,
Cas,01:53:20.76,+74:46:22.2,,,,,,127,12,dq,0.16415,,,16.4V- ,ICRS,,2000-02,A9999-99,2000-01S,2002-19,RX J0153.3+7446,,Y,,,,,Y,,,,
Hyi,01:54:01.0,-59:47:49.,,,,,,289,-56,am,0.0556,,,17.0V- ,ICRS,,1999-12,A9999-99,1999-12S:,1993-43,RXS J0154.0-5947,,,,,,,Y,,,,
Cas4,01:55:10.41,+69:42:40.4,-112,4,-6,1,2000,128,8,nl:,,,,17.8V- ,2003-115,2003-115,1995-34*,1995-34,,,Lanning 159,,,,,,,,,,,
Cet,01:55:43.44,+00:28:06.4,,,,,,155,-58,am/nl,0.060516,,,14.7p-17.6p,ICRS,,2002-05,A9999-99*,,2005-03,SDSSp J015543+002807,,,,,,,Y,,,,
UZ Tri,01:58:24.7,+33:31:30.,,,,,,139,-27,N:,,1980.,,>14.2p-21.0p,ICRS,,T00000,1986-14*,,,S 10911,,,,,,,,,,,
For,01:59:40.71,-28:10:40.6,,,,,,221,-75,cv,,,,12.0V-19.7b,2004-77,,2004-77*,2004-77,2004-77S,,2QZ J015940.6-281040,,,,,,,,,,,
Cet,01:59:50.2,+00:23:42.,,,,,,,,non-cv,,,,-,,,1983-26*,,,,PG 0157+001,,,,,,,,,,,
ES Cet,02:00:52.24,-09:24:31.6,0.01698,0.0039,-0.00143,0.00389,2000735,169,-66,ibwd,0.007178,,,17.1V- ,2006-22,2006-22,2002-11,1984-12,1987-02S,2003-97 ,KUV 01584-0939,,,,,,,,,,,
V Per,02:01:53.92,+56:44:03.5,,,,,,133,-5,n,0.107126,1887.97,,9.2p-18.5p,ICRS,,1987-08,1987-08,1989-03S,2002-127,BD +56 406a,,,,,,,,,,,
AI Tri,02:03:48.60,+29:59:26.0,-0.0082,0.0057,-0.0189,0.0057,2000,141,-30,am,0.191745,,,15.5V-18V,2004-105,2004-105,1998-17,1998-17,1998-17S,1998-17,RX J0203.8+2959,,,,,,,Y,,,,
BO Cet,02:06:39.27,-02:03:42.5,-0.0029,5,-0.0085,5,2000,162,-59,nl,0.1398,,,14.4V-15.4V,1987-28,1987-28,1990-25,1990-25,1995-07S,2002-98,Cet4, 1H 0204-023,,,,Y,,,,,,
Cet,02:06:44.51,-02:12:17.3,,,,,,,,non-cv,,,,-,,,2005-56*,,,,FBS 0204-024,PB 6657,,,,,,,,,,
TT Ari,02:06:53.09,+15:17:41.8,-0.0065,0.0014,-0.0295,0.0013,2000,149,-43,vy/dq:,0.13755,,,9.5v-14.5v,2000-110*,2000-110,1995-32/1994-46,1983-12*,1983-12S,2002-132,BD +14 341,Y,Y,,Y,Y,Y,Y,,Y,Y,
Tri,02:09:29.80,+28:32:29.3,-4,1,-22,4,2000,143,-31,am,0.066855,,,18.4B-,2003-115,2003-115,2005-104,2001-60,2001-60S,2005-125,1RXS J020928+283243,,,,,,,Y,,,,
WX Hyi,02:09:50.83,-63:18:39.9,0.0363,0.0061,0.0163,0.0056,2000,289,-51,ugsu,0.074813,,,11.4V-14.8V,2004-105,2004-105,1987-20,1982-03,1983-14S,1981-20,HV 8016,Y,Y,,,Y,Y,Y,,,,
UV Per,02:10:08.32,+57:11:21.2,0.0434,5,0.0321,5,2000,133,-4,ugsu,0.0649,,,11.7V-17.9V,2004-106,2004-106,1995-41,1987-04,1985-07S,1997-38,87.1911,Y,Y,,,,,Y,,,,
UW Per,02:12:29.54,+57:05:18.5,,,,,,134,-4,ug or n,,,,15.p-18.9V,2000-28,,1987-08,2000-28*,,,21.1912,,,,,,,,,,,
TZ Per,02:13:50.91,+58:22:51.9,-0.0138,3,-0.0122,3,1983.84,134,-3,ugz,0.262906,,,12.3v-15.6v,1999-103,1999-103,1987-20,1988-08,1994-07S,1999-62,28.1912,Y,Y,,,,,,,,,
KV And,02:17:13.87,+40:41:29.7,-2,2,-14,2,2000,140,-19,ugsu,0.0733,,,14.6p-22.5p,2003-115,2003-115,1994-41,1977-08,,2003-81,SVS 2205,,,,,,,,,,,
For,02:19:27.97,-30:45:45.9,-0.0092,0.0183,-0.0155,0.0109,1991.25,229,-70,ugsu,,,,12.2V-17.8b,2004-109,2004-109,2006-07,2004-77,,*,2QZ J021927.9-304545,,,,,,,,,,,
LX And,02:19:44.09,+40:27:22.3,-0.0041,0.0059,-0.0088,0.0059,2000,141,-19,ug,,,,13.5p-16.4p,2004-105,2004-105,1999-52,1982-16,,,RRV-3,,,,,,,,,,,
And,02:22:16.4,+41:22:59.9,,,,,,141,-18,ug,,,,15.5c-<16.5c,2005-101,,2005-101,A9999-99*,2005-101X,*,TSS J022216.4+412260,,,,,,,,,,,
Cep2,02:22:22.75,+78:54:38.0,,,,,,,,non-cv,,,,-,,,2002-31*,,,,NSV 786,,,,,,,,,,,
XX Cet,02:22:39.98,-19:32:47.3,,,,,,,,non-cv,,,,- ,,,1993-21*,,,,PHL 4037,,,,,,,,,,,
Cet,02:23:01.6,+06:16:51.7,,,,,,160,-50,nl,0.1492,,,16.3B-19.3B,2005-41,,2005-41,2005-41,,2005-09,HS 0220+0603,,,,,,,,,,,
WY Tri,02:25:00.48,+32:59:56.1,-12,0,-8,4,2000,145,-26,ugsu,,,,13.8p-19.1V,2003-115,2003-115,2001-08,1986-14,2000-01S,*,S 10919,,,,,,,,,,,
RW Tri,02:25:36.16,+28:05:50.9,0.0229,0.0026,-0.0206,0.0023,2000,147,-30,ux,0.231883,,,12.6V-15.6V,2004-105,2004-105,1995-41,1983-12,1983-12S,1991-35,5.1938,Y,Y,,,,,Y,,,,
FS And,02:25:55.03,+37:34:05.3,-7,5,-0.0044,5,2000,143,-21,ugsu:,,,,14.5p-<17.5p,1987-28,1987-28,2001-61,1987-04,1989-06S,,S 9519,,,,,,,,,,,
AM Cas,02:26:23.45,+71:18:31.4,-0.0003,3,-0.0077,3,2000,130,9,ugz,0.1652,,,12.3p-15.2p,1999-103,1999-103,1984-14,1976-07,1995-18S,2002-19,258.1928,,,,,,,,,,,
PQ And,02:29:29.54,+40:02:40.2,34,6,24,4,2000,143,-19,nr/ug,,1988.22,,10.1v-19V,2003-115,2003-115,1990-26,1990-26,1988-05X:,*,TAV 0226+39,,,,,,,,,,,
Per,02:29:37.05,+52:25:40.0,,,,,,138,-8,N:,,1873.,,8.9v-14v,ICRS,,T00001,A9999-99*,,,NSV 837,,,,,,,,,,,
Hyi,02:30:51.08,-68:42:05.4,,,,,,290,-46,am,0.12625,,,16.0V-18.0V,ICRS,,2000-29,2002-118,2002-118S,2002-102,1RXS J023053-684203,,,,,,,Y,,,,
Cet,02:33:21.41,-10:47:04.1,,,,,,184,-61,ugwz,,,,12.1V-,2006-17,,2006-21,2006-18*,2006-19X:,,ASAS 023322-1047.0,,,,,,,,,,,
Cet,02:33:22.61,+00:50:59.6,-0.00411,0.0039,-0.00748,0.00389,2002677,168,-53,cv,,,,19.9s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J023322+005059,,,,,,,Y,,,,
KW And,02:35:17.99,+41:14:02.6,0,4,6,1,2000,143,-17,UG,,,,14.8p-22p,2003-115,2003-115,1997-07,1977-08,1997-07S,,SVS 2206,,,,,,,,,,,
Cet5,02:35:40.44,-13:21:11.5,,,,,,189,-62,UG:,,,,18.1p-19.5p,ICRS,,T00001*,1960-01,,,NSV 870,,,,,,,,,,,
Cep,02:35:58.18,+80:29:44.5,14,2,8,2,2000,127,19,nl/ugz:,0.16149,,,13.7B-15.0B,2003-115,2003-115,2005-40,2005-40,2005-40S,2005-40,HS 0229+8016,,,,,,,,,,,
WW Hor,02:36:11.39,-52:19:13.4,,,,,,272,-58,am,0.080199,,,17.6V-21.6V,ICRS,,1995-41,1987-06,1987-06S,2002-134,EXO 023432-5232.3,,,,,,Y,Y,,,,
Per,02:42:09.1,+43:21:08.,,,,,,143,-15,ug/sn,,,,11.7p-20p,1953-03*,,T00001,1953-03*,,,NSV 895,,,,,,,,,,,
PU Per,02:42:16.14,+35:40:47.4,14,0,4,11,2000,147,-22,ugwz,,,,15.2V-<20.V,2003-115,2003-115,1995-31,1995-31,1978-03S:,*,S 9727,,,,,,,,,,,
For,02:42:34.79,-28:02:43.7,-14,4,-16,4,2000,222,-65,ugsu,0.0746,,,18.4V-20.8V,2003-115,2003-115,2006-12,2002-117,2002-117S,2004-10,Ha0242-2802,,,,,,,,,,,
PT Per,02:42:51.23,+56:41:31.3,,,,,,138,-3,ug,,,,15p-18.5V,ICRS,,2000-95,1987-04,1992-06X*,,S 9530,,,,,,,Y,,,,
Cet1,02:42:53.45,+06:47:45.6,,,,,,165,-47,cv,,,,16.4B- ,ICRS,,1986-06*,1986-06,1999-09S,,PG 0240+066,,,,,,,,,,,
PV Per,02:42:53.47,+38:04:03.3,,,,,,146,-20,ugsu,,,,14.9p-19.8V,ICRS,,1996-50,1987-04,1997-07S,*,S 9728,,,,,,,,,,,
Ari,02:44:57.78,+27:31:09.3,22,5,-8,3,2000,152,-29,ugsu,,,,12.p-<16.p,2003-115,2003-115,2004-70*,A9999-99*,,*,NSV 907,,,,,,,,,,,
UW Tri,02:45:17.29,+33:31:26.3,,,,,,149,-24,ugwz,,1983.70,,14.7p-22.6B,2000-28,,2001-27,2000-28*,,*,SVS 2558,,,,,,,,,,,
Per,02:46:02.33,+34:55:08.4,,,,,,148,-22,ug,,,,14.1p-<17.6p,2004-73,,2004-73,2004-73,,,Antipin V80,,,,,,,,,,,
RU Hor,02:46:07.50,-63:35:46.0,,,,,,284,-49,ugss,,,,13.9p-17.5p,ICRS,,1982-03,1982-03,,*,HV 11902,,,,,,,,,,,
V368 Per,02:47:32.59,+34:58:28.0,-4,4,-4,0,2000,148,-22,ugZ:,,,,15.2p-<17.5p,2003-115,2003-115,1987-04/T00000,1987-04,,,S 10510,,,,,,,,,,,
WX Ari,02:47:36.22,+10:35:37.7,0.0084,0.0058,-0.0165,6,2000,164,-43,ux,0.139351,,,15.3V-15.8V,2004-105,2004-105,1995-41,1982-06,1992-15S,2000-105,PG 0244+104,Y,,,,,,Y,,,,
SU Ari,02:48:30.,+17:21:47.,,,,,,159,-37,n:,,1854.,,9.5v-<14.5v,C00003*,,1987-08,1987-08:,,,BD +16 354,,,,,,,,,,,
PY Per,02:50:00.,+37:39:22.,,,,,,147,-20,cv/UGZ,0.1548,,,13.8V-19.8V,ICRS,,1994-07/T00000,1996-36*,1994-07S,1996-72,S 9160,,,,,,,,,,,
Cet,02:50:03.06,+01:09:30.7,,,,,,,,non-cv,,,,- ,,,1993-21*,,,,US 3215,,,,,,,,,,,
Oct,02:50:25.31,-87:30:22.4,0.0128,0.0034,0.0023,0.0032,2000,302,-29,nl,,,,13.0p-14.0p,2004-105,2004-105,2005-56,2005-56,2005-56S,,LB 9963,,,,,,,,,,,
Cet2,02:51:17.71,+05:37:47.7,24,6,-22,2,2000,169,-46,cv,,,,16.2B-17.6V,2003-115,2003-115,1986-06*,1986-06,1995-07S,,PG 0248+054,,,,,,,,,,,
V502 Cas,02:52:22.8,+58:45:51.,,,,,,138,0,UG:,,,,16.1r-<17.0r,ICRS,,T00000,1970-04*,,,GR 195,,,,,,,,,,,
VW For,02:52:51.35,-30:37:42.6,,,,,,228,-63,am,,,,>19.5j-20.5j,ICRS,,1994-11,1994-11,1994-11S,,For4, V0252-3037,,,,,,,,,,
SY For,02:53:14.42,-37:46:14.5,,,,,,,,non-cv,,,,- ,,,1982-03*,,,,CoD -38 946/S 7603,,,,,,,,,,,
Eri,02:55:38.03,-22:47:02.7,36,3,-4,4,2000,211,-62,ug/dq:,,,,18.0v- ,2003-115,2003-115,2000-29,2002-118,2002-118S,,1RXS J025538-224655,,,,,,,Y,,,,
XY Ari,02:56:08.1,+19:26:34.,,,,,,159,-34,dq,0.252697,,,13.5j-17.6j,1992-33*,,1992-33,,,1996-56,H 0253+193,,,,,Y,,,,Y,,
V372 Per,02:56:39.67,+37:08:23.6,12,2,-6,6,2000,149,-19,ug,,,,15.4B-<19.0B,2003-115,2003-115,1987-04,1987-04,,,S 10153,,,,,,,,,,,
LW Cas,02:57:21.92,+60:41:19.7,,,,,,,,non-cv,,,,- ,,,T00000*,,,,SVS 1144,,,,,,,,,,,
V664 Cas,03:03:46.99,+64:54:35.5,0.0076,5,-0.0078,5,2000,136,6,cv,,,,13.5v- ,2004-106,2004-106,1990-10,1985-12,1990-10S,,Cas1, PK 136+5 1,,Y,,,,,,,,
V400 Per,03:07:38.24,+47:07:40.0,4,6,0.01,0,2000,146,-10,na,,1974.,,7.8p-19.5B,2003-115,2003-115,1987-08,1987-08,1976-02X,*,,,,,,,,,,,,
Per,03:09:13.58,+33:31:26.8,,,,,,,,non-cv,,,,-,,,2002-19*,,,,FBS 0306+333,,,,,,,,,,,
CP Eri,03:10:32.75,-09:45:06.1,6,1,-6,7,2000,192,-52,ibwd,0.01969,,,16.5V-19.7V,2003-115,2003-115,1995-41,1959-02,1992-17S,1999-97,PHL 1475,,Y,,,,,,,,,
Eri,03:10:51.67,-07:55:00.3,0.00292,0.0039,-0.01498,0.00389,1999784,189,-52,ugsu,,,,15.5s-20.7V,2006-22,2006-22,2004-50,A9999-99,2003-22S,,SDSS J031051-075500,,,,,,,,,,,
Eri,03:11:20.,-22:54:38.,,,,,,213,-58,cv::,,,,- ,1998-48*,,1998-48,A9999-99*,,,EUVE J0311-2254,,,,,,,,,,,
EF Eri,03:14:13.26,-22:35:43.3,144,5,-0.0557,5,2000,213,-57,am,0.056266,,,13.7B-17.7B,1987-28,1987-28,1984-15,1983-12,1983-12S,1985-18,2A 0311-227,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
QY Per,03:15:36.8,+42:28:15.,,,,,,149,-13,ugsu,,,,14.2p-<20p,ICRS,,2000-19,1994-36,,*,S 9178,,,,,,,,,,,
Per,03:19:06.76,+35:29:35.9,,,,,,154,-18,n::,,1853.,,9.5v- ,C00003*,,1987-08,1987-08:*,,,BD +34 620,NSV 15667,,,,,,,,,,
W Ari,03:20:45.1,+28:57:14.,,,,,,158,-23,n::,,1855.,,9.5v-<20.0v,C00003,,1987-08,1987-08:*,,,BD +28 518,,,,,,,,,,,
FT Cam,03:21:14.30,+61:05:26.7,-14,3,16,3,2000,140,3,ug,,,,14.0B-<17.6B,2003-115,2003-115,1999-20,1999-20,2003-05S,*,Antipin V64,,,,,,,Y,,,,
V336 Per,03:22:53.84,+41:37:01.4,-18,1,-8,6,2000,151,-13,ug,,,,14.3V-19.7V,2003-115,2003-115,2000-01,1991-15,2000-01S,,S 9180,,,,,,,,,,,
SV Ari,03:25:03.34,+19:49:52.9,,,,,,165,-30,n:,,1905.85,,12p-22.1B,2000-28,,1987-08,2000-28:*,,,116.1905,,,,,,,,,,,
VX For,03:26:45.72,-34:26:24.6,,,,,,235,-56,ug:,,,,12.7V-<19B,ICRS*,,1990-14,1992-07*,1990-14X:,,For3,,,,,,,,,,,
Per,03:31:08.19,+43:57:50.5,0,2,-0.02,6,2000,151,-10,cv:,,,,-,2003-115,2003-115,2002-41,A9999-99*,,,CXOAYSB J033108+4357,,,,,,,,,,,
GK Per,03:31:12.01,+43:54:15.4,-0.0086,0.0028,-0.0172,3,2000,151,-10,na/dq,1.9968,1901.,,0.2v-13.9B,2004-105,2004-105,1987-08/1995-41,1987-08,1983-12S,1986-20,BD +43 740a,Y,Y,,,Y,Y,Y,,Y,,
Per,03:31:31.45,+43:56:48.2,,,,,,151,-10,cv:,,,,-,ICRS,,2002-41,A9999-99*,,,CXOAYSB J033131+4356,,,,,,,,,,,
VY For,03:32:04.61,-25:56:55.0,0.01,1,-6,8,2000,220,-54,am,0.1586,,,17.5V-19.2V,2003-115,2003-115,1995-41,1989-08,1989-08S,1989-08,For1, EXO 0329-2606,,,,,,Y,,,,
Cam,03:32:07.7,+54:35:31.,,,,,,145,-1,n:,,1969.78,,14.B-,ICRS,,1998-52*,1998-52*,,,Lanning 302,,,,,,,,,,,
AF Cam,03:32:15.48,+58:47:22.5,6,1,8,3,2000,142,2,ug,324,,,13.4V-17.3V,2003-115,2003-115,1987-04,1987-04,1985-07S,2001-43,SVS 1153,Y,Y,,,,,,,,,
Hor,03:33:,-44:51:,,,,,,253,-53,cv,67,,,-,2005-10,,2005-10,,,2005-10,CTCV J0333-4451,,,,,,,,,,,
Tau,03:33:28.47,-00:05:53.5,,,,,,185,-43,cv,,,,20.5g-,2006-05,,2006-05,A9999-99,2006-05S,,SDSS J033328-000553,,,,,,,,,,,
Ret1,03:34:34.32,-64:00:57.1,0.0326,0.0062,-0.0544,0.0061,2000,279,-45,nl:,,,,14.2V- ,2004-105,2004-105,1994-13,A9999-99,1994-13S,,P83l-57,,,,,,,,,,,
UZ For,03:35:28.62,-25:44:22.3,,,,,,220,-53,am,0.087865,,,17.V-20.5V,ICRS,,1995-41,1988-16,1989-02S,2001-116,EXO 033319-2554.2,,Y,,,,Y,Y,,,Y,
SZ For,03:41:19.99,-26:36:21.1,,,,,,,,non-cv,,,,- ,,,1996-52*,,,,PHL 4482?,,,,,,,,,,,
CW Cam,03:43:00.21,+57:33:56.0,,,,,,,,non-cv,,1927,,-,,,T00000*,,,,BD +57 739,,,,,,,,,,,
V1209 Tau,03:43:13.84,+24:05:09.4,,,,,,166,-24,NL,,,,16.2p-17.3p,ICRS,,T00000,1999-98,,,NSV 15743,,,,,,,,,,,
V701 Tau,03:44:01.9,+21:57:08.4,,,,,,168,-26,ugsu,,,,14.1V-<21V,1995-47,,1995-47,1995-47,,*,SVS 1972,,,,,,,,,,,
OV Tau,03:46:06.27,+29:41:14.8,0.0076,0.0067,-0.0032,0.0066,2000,162,-19,nl,,,,15.5p-16.5p,2004-105,2004-105,1989-16,1982-03,1994-07S,,S 10158,,,,,,,,,,,
SZ Per,03:47:06.3,+34:19:18.,,,,,,159,-16,n::,,1853.,,9.5v-<16.5p,1908-01*,,1987-08,1987-08:*,,,BD +33 715,,,,,,,,,,,
MR Per,03:50:46.91,+48:12:37.1,,,,,,,,non-cv,,,,- ,,,1989-06*,,,,S 8540,,,,,,,,,,,
V1212 Tau,03:51:56.97,+25:25:27.8,,,,,,167,-22,ugsu,,,,15.3p-21.5p,ICRS,,1999-43,1999-43*,,,NSV 15820,,,,,,,,,,,
Eri,03:54:10.30,-16:52:50.2,-4,3,-0.11,3,2000,209,-47,ug,,,,16.0V-18.4v,2003-115,2003-115,2002-118,2002-118*,2002-118S,,1RXS J035410-165244,,,,,,,Y,,,,
Tau2,04:00:37.23,+06:22:46.3,,,,,,184,-33,nl/dq:,0.1495,,,14.6V-15.5V,ICRS,,2001-54,1984-12,1993-03S,2001-43,KUV 03580+0614,,Y,,,,,,,,,
Tau,04:03:06.60,+04:44:14.6,,,,,,186,-34,cv:,,,,15.8V-17.5V,ICRS,,1998-12,A9999-99*,1998-12S:,,RX J0403.1+0444,,,,,,,Y,,,,
VX Ret,04:04:05.70,-57:53:26.6,-12,15,-18,3,2000,269,-45,ug,,,,14.7B-18.1B,2003-115,2003-115,2001-56,A9999-99,2001-56S,,EC 04030-5801,,,,,,,,,,,
Eri,04:07:14.78,-06:44:25.2,0.00405,0.0039,-0.00288,0.00389,2000735,198,-39,ug,0.17017,,,15.0V-17.1V,2006-22,2006-22,2005-11,A9999-99,2003-22S,2005-11,SDSS J040714-064425,,,,,,,,,,,
FO Per,04:08:34.99,+51:14:48.3,6,1,0,1,2000,151,0,ug,,,,11.8v-16.2p,2003-115,2003-115,1987-04,1987-04,1989-06S,*,22.1939,,,,,,,,,,,
Eri,04:09:,-30:29:,,,,,,230,-47,cv,,,,-,2000-104,,2000-104,,,,HE 0409-3029,,,,,,,,,,,
VW Hyi,04:09:11.40,-71:17:41.6,0.0427,6,0.0008,6,2000,285,-38,ugsu,0.074271,,,8.5V-13.8V,2004-105,2004-105,1987-20,1982-03,1983-14S,1987-26,RE J0409-7125,Y,Y,,,Y,Y,Y,Y,Y,Y,
MY Per,04:09:12.21,+48:22:06.6,,,,,,153,-2,UG,,,,16p-<18p,ICRS,,T00000,1966-01*,1999-08X,,S 8548,,,,,,,,,,,
XZ Eri,04:11:25.78,-15:23:23.6,,,,,,209,-42,ug/ugsu,0.061159,,,14.6p-18.7p,ICRS,,1982-03/2001-79,1982-03,1992-01S,2004-79,HV 6276,,,,,,,,,,,
NS Per,04:18:44.45,+51:07:30.6,,,,,,152,1,ug,,,,14.3V-18.0V,ICRS,,1987-04,1987-04,1989-06S,,S 8554,,,,,,,,,,,
Tau,04:21:12.23,+16:26:17.0,,,,,,,,non-cv,,,,-,,,2000-93*,,,,IRAS 04183+1619,,,,,,,,,,,
AH Eri,04:22:38.05,-13:21:30.5,-0.0187,5,-0.0183,5,2000,208,-38,ug/dq::,0.2391,,,13.5V-18.5V,1987-28,1987-28,1982-03/1994-46,1982-03,1987-05S,1997-36,HV 6292,,,,,Y,,Y,,,,
Cam,04:23:32.80,+74:52:50.3,0.02,4,8,3,2000,136,17,cv,0.0722,,,16.7B-,2003-115,2003-115,2001-60,2001-60,2001-60S,2005-42,1RXS J042332+745300,,,,,,,Y,,,,
IM Eri,04:24:41.11,-20:07:11.8,0.0521,3,-0.0286,0.0031,2000,217,-41,nl,0.14562,,,11.6B-13.0B,2000-110,2000-110,2001-56,A9999-99,2001-56S,2002-19,EC 04224-2014,,,,,,,,,,,
Dor,04:25:38.64,-57:14:36.8,,,,,,267,-42,am,0.059598,,,19.1B- ,ICRS,,1998-04,1998-04,1998-04S,1998-04,EUVE J0425-5714,,,,,,,,,,Y,
Eri,04:25:55.18,-19:45:30.4,-34,4,-38,4,2000,216,-41,am,,,,16.6v- ,2003-115,2003-115,2000-29,2002-118,2002-118S,*,1RXS J042556-194534,,,,,,,Y,,,,
Cam,04:31:15.41,+58:45:07.9,,,,,,148,7,n:,,1980.,,8.5p- ,1981-17,,1981-18,A9999-99*,,,NSV 16032,,,,,,,,,,,
TV Ret,04:35:40.71,-59:15:23.8,,,,,,269,-40,ug:,,,,16.6B-20.8B,ICRS,,1991-16,1991-16,,,R1,,,,,,,,,,,
BF Eri,04:39:29.94,-04:35:58.6,0.0339,5,-97,5,2000,201,-31,ug,,,,13.5p-15.5p,1987-28,1987-28,1999-28,1971-05,1996-20S,,WGA J0439.4-0433,,,,,,,Y,,,,
TU Men,04:41:40.52,-76:36:46.3,,,,,,289,-33,ugsu,0.1172,,,11.6V-18.5V,ICRS,,1987-20,1982-03,1995-05S,1995-05,S 6732,Y,Y,,,,,,,,,
FY Per,04:41:56.63,+50:42:36.0,0.0173,0.0036,-0.0129,0.0033,2000,155,3,ux/ugz,0.2585,,,12.3B-14.5B,2004-105,2004-105,1989-16,1964-02,1994-07S,2002-19,640.1936,,,,,,,,,,,
V392 Per,04:43:21.38,+47:21:26.6,8,1,-0.01,11,2000,158,1,ugZ:,,,,15p-17.4V,2003-115,2003-115,2000-01,1970-03*,2000-01S,,S 10653,,,,,,,,,,,
Per1,04:49:54.13,+40:32:31.2,,,,,,,,non-cv,,,,- ,,,2000-01*,,,,NSV 1725,,,,,,,,,,,
HV Aur,04:53:16.82,+38:16:28.7,,,,,,166,-3,ugsu,,,,15p-<19p,ICRS,,1995-38,1987-04,,*,S 8480,,,,,,,,,,,
RS Cae,04:53:25.46,-42:13:39.2,,,,,,247,-39,am,,,,18.4V-19.6V,ICRS,,1996-06,1996-06,1996-06S,*,Cae1, RX J0453-4213,,,,,,,Y,,,
Dor,04:57:42.21,-69:40:30.6,,,,,,281,-35,ugsu:,,,,-,2004-48,,2004-48,A9999-99,,,m17.2832.2606,,,,,,,,,,,
V1208 Tau,04:59:44.03,+19:26:23.2,,,,,,182,-14,ugsu,,,,18V- ,ICRS,,2000-24,1996-09,1996-09S,*,Tau3/RX J0459+1926,,,,,,,Y,,,,
Dor,05:01:08.08,-69:28:13.0,,,,,,281,-35,ugsu,,,,18.3I-21.3I,2003-09,,2003-09,2003-09,,,OGLE 050108-692813,,,,,,,,,,,
HY Eri,05:01:46.39,-03:59:20.7,,,,,,203,-26,am,0.118969,,,17.5V-22.7V,ICRS,,1999-04,A9999-99*,1999-04S,1999-04,RX J0501-0359,,,,,,,Y,,,,
V1062 Tau,05:02:27.47,+24:45:23.4,-0.0055,5,0.0023,5,2000,178,-10,dq,0.41284,,,15.1B-16.1B,2004-106,2004-106,1994-46,1994-10,1994-10S,2004-33,Tau1, 1H 0459+246,Y,,,Y,Y,Y,Y,,Y,
Tau4,05:02:50.94,+16:24:22.0,34,15,-0.03,5,2000,185,-15,am,,,,17.1V- ,2003-115,2003-115,2005-66,1996-09,1996-09S,,RX J0502.8+1624,,,,,,,Y,,,,
HW Tau,05:03:38.48,+26:24:03.6,,,,,,,,non-ex,,,,- ,,,2000-102*,,,,SVS 1023,,,,,,,,,,,
AQ Eri,05:06:13.08,-04:08:07.9,-0.0004,5,-37,5,2000,204,-25,ugsu,0.06094,,,12.5v-17.5V,1987-28,1987-28,1995-41,1982-03,1987-05S,1996-73,431.1934,Y,Y,,,,,,,,,
